age,female,sex,race,subgroup_id,riskfactor,N,Mean,se,LowerCLMean,UpperCLMean,sigma_u_wgt,var,riagendr,meandaych,dayse,effect1,effect2,effect3,effect1se,effect2se,effect3se,Mean_alt,Mean_alt2,Mean_alt3,Mean_alt_se1,Mean_alt_se2,Mean_alt_se3,overweight_rate,overweight_rate_se,hbp,hbp_se,highSBP_RATE,highSBP_RATE_se
4,0,2,2,26,rfg,348,120.811335,1.595345,4.14808,4.37476,34.37681463,rfg,1,-8.466514039,0.421313497,-2.963279914,-2.11662851,-4.233257019,0.147459724,0.1053283743,0.2106567485,117.84805506,118.69470647,116.57807796,1.6091927441,1.6091927441,1.6091927441,84.5881,2.1139,58.6236,2.6981,83.2731,1.9891
4,0,2,2,26,sodium,348,2775.317746,34.022165,2706.79359,2843.84190,586.64482184,sod,1,-209.2665821,11.047651898,-73.24330374,-52.31664553,-104.6332911,3.8666781644,2.7619129746,5.5238259492,2702.0744423,2723.0011005,2670.684455,34.467671471,34.467671471,34.467671471,84.5881,2.1139,58.6236,2.6981,83.2731,1.9891
4,0,2,2,26,wg,348,21.417637,0.873291,0.69343,0.81751,14.463570547,wg,1,8.4665140386,0.421313497,2.9632799135,2.1166285097,4.2332570193,0.147459724,0.1053283743,0.2106567485,24.380916918,23.534265514,25.650894024,0.8983394461,0.8983394461,0.8983394461,84.5881,2.1139,58.6236,2.6981,83.2731,1.9891
4,0,2,2,26,GLrice,348,4.758758,0.062841,4.14808,4.37476,1.3541027283,rfg,1,-8.466514039,0.421313497,-2.963279914,-2.11662851,-4.233257019,0.147459724,0.1053283743,0.2106567485,4.642034889,4.6753844878,4.5920104908,0.2198299585,0.2198299585,0.2198299585,84.5881,2.1139,58.6236,2.6981,83.2731,1.9891
4,0,2,3,27,GLwheat,389,32.096240,0.573868,5.18448,5.57183,8.0623133182,rfg,1,-7.974535359,0.399735629,-2.791087376,-1.99363384,-3.987267679,0.1399074702,0.0999339073,0.1998678145,31.508695444,31.676565394,31.256890519,0.6076776556,0.6076776556,0.6076776556,80.5975,2.0397,46.6989,2.9218,78.0882,2.9802
4,0,2,3,27,addsug,389,53.455961,1.694553,11.91499,13.54023,22.528920102,add,1,-3.096634116,0.2457566425,-1.083821941,-0.774158529,-1.548317058,0.0860148249,0.0614391606,0.1228783213,52.372139428,52.68180284,51.907644311,1.699002588,1.699002588,1.699002588,80.5975,2.0397,46.6989,2.9218,78.0882,2.9802
4,0,2,3,27,rfg,389,152.470768,2.726119,5.18448,5.57183,38.299411272,rfg,1,-7.974535359,0.399735629,-2.791087376,-1.99363384,-3.987267679,0.1399074702,0.0999339073,0.1998678145,149.67968098,150.47713452,148.48350068,2.7334356745,2.7334356745,2.7334356745,80.5975,2.0397,46.6989,2.9218,78.0882,2.9802
4,0,2,3,27,sodium,389,2846.007939,37.193627,2771.09613,2920.91975,571.99627527,sod,1,-194.5483988,10.615136887,-68.09193958,-48.6370997,-97.27419941,3.7152979105,2.6537842218,5.3075684436,2777.9159993,2797.3708392,2748.7337395,37.570416678,37.570416678,37.570416678,80.5975,2.0397,46.6989,2.9218,78.0882,2.9802
4,0,2,3,27,wg,389,21.149022,0.824285,0.68744,0.80456,13.107933723,wg,1,7.974535359,0.399735629,2.7910873756,1.9936338397,3.9872676795,0.1399074702,0.0999339073,0.1998678145,23.940109506,23.14265597,25.13628981,0.8481700023,0.8481700023,0.8481700023,80.5975,2.0397,46.6989,2.9218,78.0882,2.9802
4,0,2,3,27,GLrice,389,6.005824,0.107382,5.18448,5.57183,1.50861381,rfg,1,-7.974535359,0.399735629,-2.791087376,-1.99363384,-3.987267679,0.1399074702,0.0999339073,0.1998678145,5.8958826338,5.9272943286,5.8487650916,0.226887633,0.226887633,0.226887633,80.5975,2.0397,46.6989,2.9218,78.0882,2.9802
