,age,sex_id,outcome,x
183,3,1,PC,74225.37682
184,4,1,PC,194630.6612
185,5,1,PC,206817.9887
186,6,1,PC,130714.3437
187,1,2,PC,2335.569856
188,2,2,PC,10966.31932
189,3,2,PC,47644.50684
190,4,2,PC,134628.4309
191,5,2,PC,167699.2338
192,6,2,PC,156733.5345
193,1,1,SCNC,4151.517353
194,2,1,SCNC,12764.13194
195,3,1,SCNC,32783.82502
196,4,1,SCNC,66034.75329
197,5,1,SCNC,66814.20785
198,6,1,SCNC,57351.42576
199,1,2,SCNC,4377.78531
200,2,2,SCNC,10522.0366
201,3,2,SCNC,18796.29842
202,4,2,SCNC,30904.29002
203,5,2,SCNC,35057.31475
204,6,2,SCNC,47026.84849
193,1,1,SCC,4151.517353
194,2,1,SCC,12764.13194
195,3,1,SCC,32783.82502
196,4,1,SCC,66034.75329
197,5,1,SCC,66814.20785
198,6,1,SCC,57351.42576
199,1,2,SCC,4377.78531
200,2,2,SCC,10522.0366
201,3,2,SCC,18796.29842
202,4,2,SCC,30904.29002
203,5,2,SCC,35057.31475
204,6,2,SCC,47026.84849
205,1,1,TC,685.2999431
206,2,1,TC,1580.693863
207,3,1,TC,4636.763089
208,4,1,TC,8385.356947
209,5,1,TC,8403.701413
210,6,1,TC,6405.198169
211,1,2,TC,797.5387327
212,2,2,TC,1720.698644
213,3,2,TC,3790.81723
214,4,2,TC,7994.025388
215,5,2,TC,8730.176337
216,6,2,TC,8408.474552
217,1,1,UC,0
218,2,1,UC,0
219,3,1,UC,0
220,4,1,UC,0
221,5,1,UC,0
222,6,1,UC,0
223,1,2,UC,1691.137592
224,2,2,UC,7172.823662
225,3,2,UC,25286.68748
226,4,2,UC,77742.39206
227,5,2,UC,85689.72557
228,6,2,UC,51891.83359
